#Switch,Port,Peer-Device,Peer-Port,Blacklist,Comment
#switch,port,peerDevice,peerPort
sw-ib-c2f14-08-01,23,sw-ib-c2f15-21-01,16,0,
sw-ib-c2f14-08-01,24,sw-ib-c2f15-21-01,18,0,
sw-ib-c2f14-08-01,25,sw-ib-c2f15-23-01,14,0,
sw-ib-c2f14-08-01,26,sw-ib-c2f15-23-01,16,0,
sw-ib-c2f14-08-01,27,sw-ib-c2f15-23-01,18,0,
sw-ib-c2f14-08-01,28,sw-ib-c2f15-25-01,14,0,
sw-ib-c2f14-08-01,29,sw-ib-c2f15-25-01,16,0,
sw-ib-c2f14-08-01,30,sw-ib-c2f15-25-01,18,0,
sw-ib-c2f14-08-01,31,sw-ib-c2f15-27-01,14,0,
sw-ib-c2f14-08-01,32,sw-ib-c2f15-27-01,16,0,
sw-ib-c2f14-08-01,33,sw-ib-c2f15-27-01,18,0,
sw-ib-c2f14-08-01,34,sw-ib-c2f15-29-01,14,0,
sw-ib-c2f14-08-01,35,sw-ib-c2f15-29-01,16,0,
sw-ib-c2f14-08-01,36,sw-ib-c2f15-29-01,18,0,
sw-ib-c2f14-38-01,1,ru-c2e14-28-01,,0,
sw-ib-c2f14-38-01,2,ru-c2e14-29-01,,0,
sw-ib-c2f14-38-01,3,ru-c2e14-30-01,,0,
sw-ib-c2f14-38-01,4,ru-c2e14-34-01,,0,
sw-ib-c2f14-38-01,5,ru-c2e14-35-01,,0,
sw-ib-c2f14-38-01,6,ru-c2e14-36-01,,0,
sw-ib-c2f14-38-01,7,,,0,
sw-ib-c2f14-38-01,8,ru-c2e14-37-01,,0,
sw-ib-c2f14-38-01,9,bu-c2f16-31-01,,0,
sw-ib-c2f14-38-01,10,bu-c2e18-31-01,,0,
sw-ib-c2f14-38-01,11,bu-c2d38-29-01,,0,
sw-ib-c2f14-38-01,12,bu-c2d41-29-01,,0,
sw-ib-c2f14-38-01,13,bu-c2d38-39-01,,0,
sw-ib-c2f14-38-01,14,bu-c2d38-41-01,,0,
sw-ib-c2f14-38-01,15,,,0,
sw-ib-c2f14-38-01,16,,,0,
sw-ib-c2f14-38-01,17,,,0,
sw-ib-c2f14-38-01,18,,,0,
sw-ib-c2f14-38-01,19,sw-ib-c2f15-19-01,13,0,
sw-ib-c2f14-38-01,20,sw-ib-c2f15-19-01,15,0,
sw-ib-c2f14-38-01,21,sw-ib-c2f15-19-01,17,0,
sw-ib-c2f14-38-01,22,sw-ib-c2f15-21-01,13,0,
sw-ib-c2f14-38-01,23,sw-ib-c2f15-21-01,15,0,
sw-ib-c2f14-38-01,24,sw-ib-c2f15-21-01,17,0,
sw-ib-c2f14-38-01,25,sw-ib-c2f15-23-01,13,0,
sw-ib-c2f14-38-01,26,sw-ib-c2f15-23-01,15,0,
sw-ib-c2f14-38-01,27,sw-ib-c2f15-23-01,17,0,
sw-ib-c2f14-38-01,28,sw-ib-c2f15-25-01,13,0,
sw-ib-c2f14-38-01,29,sw-ib-c2f15-25-01,15,0,
sw-ib-c2f14-38-01,30,sw-ib-c2f15-25-01,17,0,
sw-ib-c2f14-38-01,31,sw-ib-c2f15-27-01,13,0,
sw-ib-c2f14-38-01,32,sw-ib-c2f15-27-01,15,0,
sw-ib-c2f14-38-01,33,sw-ib-c2f15-27-01,17,0,
sw-ib-c2f14-38-01,34,sw-ib-c2f15-29-01,13,0,
sw-ib-c2f14-38-01,35,sw-ib-c2f15-29-01,15,0,
sw-ib-c2f14-38-01,36,sw-ib-c2f15-29-01,17,0,
sw-ib-c2f14-36-01,1,ru-c2e14-18-01,,0,
sw-ib-c2f14-36-01,2,ru-c2e14-19-01,,0,
sw-ib-c2f14-36-01,3,ru-c2e14-22-01,,0,
sw-ib-c2f14-36-01,4,ru-c2e14-23-01,,0,
sw-ib-c2f14-36-01,5,ru-c2e14-24-01,,0,
sw-ib-c2f14-36-01,6,ru-c2e14-25-01,,0,
sw-ib-c2f14-36-01,7,ru-c2e14-26-01,,0,
sw-ib-c2f14-36-01,8,ru-c2e14-27-01,,0,
sw-ib-c2f14-36-01,9,bu-c2f16-29-01,,0,
sw-ib-c2f14-36-01,10,bu-c2e18-29-01,,0,
sw-ib-c2f14-36-01,11,bu-c2d38-27-01,,0,
sw-ib-c2f14-36-01,12,bu-c2d41-27-01,,0,
sw-ib-c2f14-36-01,13,bu-c2e18-41-01,,0,
sw-ib-c2f14-36-01,14,bu-c2e18-43-01,,0,
sw-ib-c2f14-36-01,15,,,0,
sw-ib-c2f14-36-01,16,,,0,
sw-ib-c2f14-36-01,17,,,0,
sw-ib-c2f14-36-01,18,,,0,
sw-ib-c2f14-36-01,19,sw-ib-c2f15-19-01,7,0,
sw-ib-c2f14-36-01,20,sw-ib-c2f15-19-01,9,0,
sw-ib-c2f14-36-01,21,sw-ib-c2f15-19-01,11,0,
sw-ib-c2f14-36-01,22,sw-ib-c2f15-21-01,7,0,
sw-ib-c2f14-36-01,23,sw-ib-c2f15-21-01,9,0,
sw-ib-c2f14-36-01,24,sw-ib-c2f15-21-01,11,0,
sw-ib-c2f14-36-01,25,sw-ib-c2f15-23-01,7,0,
sw-ib-c2f14-36-01,26,sw-ib-c2f15-23-01,9,0,
sw-ib-c2f14-36-01,27,sw-ib-c2f15-23-01,11,0,
sw-ib-c2f14-36-01,28,sw-ib-c2f15-25-01,7,0,
sw-ib-c2f14-36-01,29,sw-ib-c2f15-25-01,9,0,
sw-ib-c2f14-36-01,30,sw-ib-c2f15-25-01,11,0,
sw-ib-c2f14-36-01,31,sw-ib-c2f15-27-01,7,0,
sw-ib-c2f14-36-01,32,sw-ib-c2f15-27-01,9,0,
sw-ib-c2f14-36-01,33,sw-ib-c2f15-27-01,11,0,
sw-ib-c2f14-36-01,34,sw-ib-c2f15-29-01,7,0,
sw-ib-c2f14-36-01,35,sw-ib-c2f15-29-01,9,0,
sw-ib-c2f14-36-01,36,sw-ib-c2f15-29-01,11,0,
sw-ib-c2f14-04-01,1,ru-c2e12-10-01,,0,
sw-ib-c2f14-04-01,2,ru-c2e12-11-01,,0,
sw-ib-c2f14-04-01,3,ru-c2e12-12-01,,0,
sw-ib-c2f14-04-01,4,ru-c2e12-13-01,,0,
sw-ib-c2f14-04-01,5,ru-c2e12-14-01,,0,
sw-ib-c2f14-04-01,6,ru-c2e12-15-01,,0,
sw-ib-c2f14-04-01,7,ru-c2e12-16-01,,0,
